,Hour,Weekend,name,Proportion Of Bikes Available,lat,long
1200,16,True,South Van Ness at Market,0.5086032388663967,37.774814,-122.418954
1201,19,True,South Van Ness at Market,0.5425101214574897,37.774814,-122.418954
1202,15,True,South Van Ness at Market,0.5222278998467043,37.774814,-122.418954
1203,19,False,South Van Ness at Market,0.3804740859783045,37.774814,-122.418954
1204,3,False,South Van Ness at Market,0.5271193250301327,37.774814,-122.418954
1205,21,True,South Van Ness at Market,0.548582995951417,37.774814,-122.418954
1206,22,True,South Van Ness at Market,0.5592105263157894,37.774814,-122.418954
1207,2,True,South Van Ness at Market,0.573326520183955,37.774814,-122.418954
1208,23,True,South Van Ness at Market,0.5733805668016196,37.774814,-122.418954
1209,5,False,South Van Ness at Market,0.5247087183607874,37.774814,-122.418954
1210,6,True,South Van Ness at Market,0.5657894736842104,37.774814,-122.418954
1211,17,False,South Van Ness at Market,0.3171956609079953,37.774814,-122.418954
1212,13,False,South Van Ness at Market,0.3682209325595358,37.774814,-122.418954
1213,14,True,South Van Ness at Market,0.5186509964230966,37.774814,-122.418954
1214,7,False,South Van Ness at Market,0.5142627561269587,37.774814,-122.418954
1215,15,False,South Van Ness at Market,0.38643185911546923,37.774814,-122.418954
1216,10,False,South Van Ness at Market,0.3784270562337402,37.774814,-122.418954
1217,0,True,South Van Ness at Market,0.562753036437247,37.774814,-122.418954
1218,10,True,South Van Ness at Market,0.5465587044534413,37.774814,-122.418954
1219,18,True,South Van Ness at Market,0.5349190283400808,37.774814,-122.418954
1220,11,False,South Van Ness at Market,0.37565287263961433,37.774814,-122.418954
1221,1,True,South Van Ness at Market,0.5683198380566803,37.774814,-122.418954
1222,5,True,South Van Ness at Market,0.5718623481781376,37.774814,-122.418954
1223,13,True,South Van Ness at Market,0.5135411343893714,37.774814,-122.418954
1224,14,False,South Van Ness at Market,0.38723233940364216,37.774814,-122.418954
1225,22,False,South Van Ness at Market,0.4971876255524306,37.774814,-122.418954
1226,1,False,South Van Ness at Market,0.5249096022498995,37.774814,-122.418954
1227,6,False,South Van Ness at Market,0.5210928083567696,37.774814,-122.418954
1228,17,True,South Van Ness at Market,0.5227732793522266,37.774814,-122.418954
1229,3,True,South Van Ness at Market,0.5738866396761133,37.774814,-122.418954
1230,18,False,South Van Ness at Market,0.3037364403374849,37.774814,-122.418954
1231,11,True,South Van Ness at Market,0.5339068825910929,37.774814,-122.418954
1232,21,False,South Van Ness at Market,0.4825231016472479,37.774814,-122.418954
1233,8,False,South Van Ness at Market,0.5029017410446267,37.774814,-122.418954
1234,12,True,South Van Ness at Market,0.527834008097166,37.774814,-122.418954
1235,20,False,South Van Ness at Market,0.4535958216151066,37.774814,-122.418954
1236,4,False,South Van Ness at Market,0.5267175572519084,37.774814,-122.418954
1237,16,False,South Van Ness at Market,0.39563738242945773,37.774814,-122.418954
1238,7,True,South Van Ness at Market,0.5521255060728746,37.774814,-122.418954
1239,9,True,South Van Ness at Market,0.5450404858299596,37.774814,-122.418954
1240,0,False,South Van Ness at Market,0.524106066693451,37.774814,-122.418954
1241,9,False,South Van Ness at Market,0.40184110466279754,37.774814,-122.418954
1242,12,False,South Van Ness at Market,0.37522513508104877,37.774814,-122.418954
1243,2,False,South Van Ness at Market,0.5263157894736842,37.774814,-122.418954
1244,20,True,South Van Ness at Market,0.5455465587044533,37.774814,-122.418954
1249,5,True,Embarcadero at Vallejo,0.4,37.799953,-122.398525
1250,18,False,Embarcadero at Vallejo,0.2916030534351144,37.799953,-122.398525
1251,14,False,Embarcadero at Vallejo,0.5665399239543727,37.799953,-122.398525
1252,23,True,Embarcadero at Vallejo,0.45961538461538465,37.799953,-122.398525
1253,16,False,Embarcadero at Vallejo,0.5629911280101394,37.799953,-122.398525
1254,21,False,Embarcadero at Vallejo,0.29363867684478373,37.799953,-122.398525
1255,17,True,Embarcadero at Vallejo,0.485897435897436,37.799953,-122.398525
1256,6,False,Embarcadero at Vallejo,0.3081424936386769,37.799953,-122.398525
1257,8,False,Embarcadero at Vallejo,0.279340937896071,37.799953,-122.398525
1258,22,True,Embarcadero at Vallejo,0.4602564102564102,37.799953,-122.398525
1259,2,True,Embarcadero at Vallejo,0.39417475728155343,37.799953,-122.398525
1260,21,True,Embarcadero at Vallejo,0.46025641025641034,37.799953,-122.398525
1261,11,False,Embarcadero at Vallejo,0.6391857506361323,37.799953,-122.398525
1262,17,False,Embarcadero at Vallejo,0.4666666666666668,37.799953,-122.398525
1263,6,True,Embarcadero at Vallejo,0.40128205128205124,37.799953,-122.398525
1264,11,True,Embarcadero at Vallejo,0.4083333333333333,37.799953,-122.398525
1265,20,True,Embarcadero at Vallejo,0.4653846153846156,37.799953,-122.398525
1266,0,True,Embarcadero at Vallejo,0.39551282051282055,37.799953,-122.398525
